,date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_depth_mm,sh_depth_qc,sh_depth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_%,sh_sm2_qc,sh_sm2_C_qa,sh_sm8_%,sh_sm8_qc,sh_sm8_C_qa,sh_sm20_%,sh_sm20_qc,sh_sm20_C_qa,sh_st2_C,sh_st2_qc,sh_st8_C_qa,sh_st8_C,sh_st8_qc,sh_st2_C_qa,sh_st20_C,sh_st20_qc,sh_st20_qa
0,2016-10-01 00:00:00,0.0,E,P,0.0,E,P,0,V,F,7.572872118627444,E,F,0.0,V,A,0.0,V,A,4.6,V,A,18.3,V,A,17.4,V,A,15.0,V,A
1,2016-10-01 01:00:00,0.0,E,P,0.0,E,P,0,V,P,6.907659460334614,E,F,0.0,V,A,0.0,V,A,4.5,V,A,18.0,V,A,17.4,V,A,15.0,V,A
2,2016-10-01 02:00:00,0.0,E,P,0.0,E,P,0,V,P,6.907659460334614,E,F,0.0,V,A,0.0,V,A,4.3,V,A,17.7,V,A,17.4,V,A,15.0,V,A
3,2016-10-01 03:00:00,0.0,E,P,0.0,E,P,0,V,P,6.242941008853492,E,F,0.0,V,A,0.0,V,A,4.6,V,A,17.3,V,A,17.3,V,A,15.0,V,A
4,2016-10-01 04:00:00,0.0,E,P,0.0,E,P,0,V,P,4.584341912525403,E,F,0.0,V,A,0.0,V,A,4.6,V,A,17.0,V,A,17.2,V,A,15.0,V,A
5,2016-10-01 05:00:00,0.0,E,P,0.0,E,P,0,E,P,4.143049556038179,E,F,0.0,V,A,0.0,V,A,4.6,V,A,16.7,V,A,17.2,V,A,15.0,V,A
6,2016-10-01 06:00:00,0.0,E,P,0.0,E,P,0,V,P,2.2737788118203497,E,F,0.0,V,A,0.1,V,A,4.3,V,A,16.4,V,A,17.1,V,A,15.0,V,A
7,2016-10-01 07:00:00,0.0,E,P,0.0,E,P,0,V,P,1.2890471185179848,E,F,0.0,V,A,0.0,V,A,4.4,V,A,16.0,V,A,17.0,V,A,15.0,V,A
8,2016-10-01 08:00:00,0.0,E,P,0.0,E,P,0,V,P,6.796834460897784,E,F,0.0,V,A,0.0,V,A,4.2,V,A,15.7,V,A,16.9,V,A,15.0,V,A
9,2016-10-01 09:00:00,0.0,E,P,0.0,E,P,0,E,P,9.458943284164647,E,F,0.0,V,A,0.0,V,A,4.4,V,A,15.4,V,A,16.8,V,A,15.0,V,A
10,2016-10-01 10:00:00,0.0,E,P,0.0,E,P,0,E,P,11.7872283117391,E,F,0.0,V,A,0.0,V,A,4.2,V,A,15.1,V,A,16.7,V,A,15.0,V,A
11,2016-10-01 11:00:00,0.0,E,P,0.0,E,P,0,E,P,12.230021335792046,E,F,0.0,V,A,0.0,V,A,4.6,V,A,15.1,V,A,16.6,V,A,15.0,V,A
12,2016-10-01 12:00:00,0.0,E,P,0.0,E,P,0,E,P,13.77695389386541,E,F,0.0,V,A,0.0,V,A,4.1,V,A,15.3,V,A,16.5,V,A,15.0,V,A
13,2016-10-01 13:00:00,0.0,E,P,0.0,E,P,0,E,P,14.10774904550486,E,F,0.0,V,A,0.0,V,A,4.4,V,A,15.7,V,A,16.4,V,A,15.0,V,A
14,2016-10-01 14:00:00,0.0,E,P,0.0,E,P,0,E,P,13.99751441797234,E,F,0.0,V,A,0.0,V,A,4.4,V,A,16.3,V,A,16.3,V,A,15.0,V,A
15,2016-10-01 15:00:00,0.0,V,P,0.0,E,P,0,E,P,13.22504912046945,E,F,0.0,V,A,0.0,V,A,4.1,V,A,17.0,V,A,16.2,V,A,15.0,V,A
16,2016-10-01 16:00:00,0.0,E,P,0.0,E,P,0,E,P,11.897954804253558,E,F,0.0,V,A,0.0,V,A,4.5,V,A,17.7,V,A,16.2,V,A,15.0,V,A
17,2016-10-01 17:00:00,0.0,E,P,0.0,E,P,0,E,P,10.124590472285306,E,F,0.0,V,A,0.0,V,A,4.2,V,A,18.3,V,A,16.2,V,A,15.0,V,A
