,date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_depth_mm,sh_depth_qc,sh_depth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_%,sh_sm2_qc,sh_sm2_C_qa,sh_sm8_%,sh_sm8_qc,sh_sm8_C_qa,sh_sm20_%,sh_sm20_qc,sh_sm20_C_qa,sh_st2_C,sh_st2_qc,sh_st8_C_qa,sh_st8_C,sh_st8_qc,sh_st2_C_qa,sh_st20_C,sh_st20_qc,sh_st20_qa
0,2013-10-01 00:00:00,0.0,E,P,0.0,E,P,0.0,V,P,3.3720402451750005,E,F,3.3,V,A,3.6,V,A,12.5,V,A,11.4,V,A,12.1,V,A,12.2,V,A
1,2013-10-01 01:00:00,0.0,E,P,0.0,E,P,0.0,V,P,4.253326683930467,E,F,2.8,V,A,4.1,V,A,12.1,V,A,11.2,V,A,12.1,V,A,12.2,V,A
2,2013-10-01 02:00:00,0.0,E,P,0.0,E,P,0.0,V,P,4.694739227896932,E,F,3.4,V,A,4.1,V,A,12.1,V,A,11.0,V,A,12.0,V,A,12.2,V,A
3,2013-10-01 03:00:00,0.0,E,P,0.0,E,P,0.0,E,P,5.1366039208123055,E,F,3.1,V,A,3.3,V,A,12.3,V,A,10.8,V,A,12.0,V,A,12.2,V,A
4,2013-10-01 04:00:00,0.0,E,P,0.0,E,P,0.0,E,P,4.915617924695411,E,F,3.4,V,A,4.6,V,A,12.1,V,A,10.7,V,A,11.9,V,A,12.2,V,A
5,2013-10-01 05:00:00,0.0,E,P,0.0,V,P,0.0,E,P,5.689500468724063,E,F,3.1,V,A,3.6,V,A,12.6,V,A,10.5,V,A,11.9,V,A,12.2,V,A
6,2013-10-01 06:00:00,0.0,E,P,0.0,E,P,0.0,E,P,4.694739227896932,E,F,3.1,V,A,3.4,V,A,12.0,V,A,10.4,V,A,11.9,V,A,12.2,V,A
7,2013-10-01 07:00:00,0.0,E,P,0.0,E,P,0.0,E,P,4.473973574113117,E,F,2.9,V,A,3.5,V,A,12.3,V,A,10.3,V,A,11.8,V,A,12.2,V,A
8,2013-10-01 08:00:00,0.0,E,P,0.0,V,P,0.0,E,P,8.682228756195329,E,F,3.3,V,A,3.3,V,A,12.0,V,A,10.2,V,A,11.7,V,A,12.2,V,A
9,2013-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,E,P,10.9008363248564,E,F,3.2,V,A,4.3,V,A,12.1,V,A,10.1,V,A,11.7,V,A,12.2,V,A
10,2013-10-01 10:00:00,0.0,E,P,0.0,E,P,0.0,E,P,12.340670299613791,E,F,2.9,V,A,3.5,V,A,12.0,V,A,10.0,V,A,11.6,V,A,12.2,V,A
11,2013-10-01 11:00:00,0.0,E,P,0.0,E,P,0.0,E,P,13.666629230415296,E,F,3.0,V,A,3.1,V,A,11.6,V,A,10.3,V,A,11.6,V,A,12.2,V,A
12,2013-10-01 12:00:00,0.0,E,P,0.0,E,P,0.0,E,P,14.658441508280745,E,F,2.8,V,A,3.2,V,A,11.9,V,A,10.7,V,A,11.5,V,A,12.2,V,A
13,2013-10-01 13:00:00,0.0,E,P,0.0,E,P,0.0,E,P,15.098382862398395,E,F,3.3,V,A,4.2,V,A,12.1,V,A,11.3,V,A,11.5,V,A,12.2,V,A
14,2013-10-01 14:00:00,0.0,E,P,0.0,E,P,0.0,E,P,14.878483002154084,E,F,3.1,V,A,3.1,V,A,11.5,V,A,12.1,V,A,11.4,V,A,12.2,V,A
15,2013-10-01 15:00:00,0.0,E,P,0.0,E,P,0.0,E,P,14.438263068517344,E,F,2.9,V,A,2.8,V,A,11.6,V,A,13.0,V,A,11.4,V,A,12.2,V,A
16,2013-10-01 16:00:00,0.0,E,P,0.0,V,P,0.0,E,P,13.666629230415296,E,F,3.2,V,A,3.7,V,A,12.1,V,A,13.8,V,A,11.5,V,A,12.1,V,A
17,2013-10-01 17:00:00,0.0,E,P,0.0,V,P,0.0,E,P,12.230021335792046,E,F,3.4,V,A,2.9,V,A,11.4,V,A,14.3,V,A,11.6,V,A,12.1,V,A
18,2013-10-01 18:00:00,0.0,E,P,0.0,E,P,0.0,E,P,9.237029123639601,E,F,3.5,V,A,3.1,V,A,11.5,V,A,14.5,V,A,11.7,V,A,12.1,V,A
19,2013-10-01 19:00:00,0.0,E,P,0.0,E,P,0.0,V,P,7.461975734839527,E,F,3.2,V,A,3.8,V,A,12.1,V,A,14.4,V,A,11.8,V,A,12.1,V,A
20,2013-10-01 20:00:00,0.0,E,P,0.0,E,P,0.0,V,P,5.800147965574908,E,F,3.5,V,A,3.0,V,A,11.6,V,A,14.2,V,A,12.0,V,A,12.1,V,A
21,2013-10-01 21:00:00,0.0,E,P,0.0,E,P,0.0,V,P,4.143049556038179,E,F,3.4,V,A,4.1,V,A,11.4,V,A,14.0,V,A,12.1,V,A,12.1,V,A
22,2013-10-01 22:00:00,0.0,E,P,0.0,E,P,0.0,V,P,3.152072026925552,E,F,3.4,V,A,2.9,V,A,11.9,V,A,13.7,V,A,12.2,V,A,12.1,V,A
23,2013-10-01 23:00:00,0.0,E,P,0.0,E,P,0.0,V,P,2.2737788118203497,E,F,3.2,V,A,3.0,V,A,11.9,V,A,13.4,V,A,12.3,V,A,12.1,V,A
24,2013-10-02 00:00:00,0.0,E,P,0.0,E,P,0.0,E,P,1.5075468075306588,E,F,3.6,V,A,3.3,V,A,11.6,V,A,13.1,V,A,12.3,V,A,12.1,V,A
25,2013-10-02 01:00:00,0.0,E,P,0.0,E,P,0.0,V,P,1.2890471185179848,E,F,3.0,V,A,3.2,V,A,11.5,V,A,12.7,V,A,12.4,V,A,12.1,V,A
26,2013-10-02 02:00:00,0.0,E,P,0.0,E,P,0.0,V,P,1.1798711436302227,E,F,3.2,V,A,3.5,V,A,11.5,V,A,12.4,V,A,12.4,V,A,12.1,V,A
27,2013-10-02 03:00:00,0.0,E,P,0.0,E,P,0.0,V,P,1.1798711436302227,E,F,3.2,V,A,3.5,V,A,11.6,V,A,12.1,V,A,12.4,V,A,12.1,V,A
28,2013-10-02 04:00:00,0.0,E,P,0.0,E,P,0.0,E,P,1.2890471185179848,E,F,3.1,V,A,3.7,V,A,11.1,V,A,11.8,V,A,12.4,V,A,12.1,V,A
29,2013-10-02 05:00:00,0.0,E,P,0.0,E,P,0.0,E,P,1.5075468075306588,E,F,3.2,V,A,3.4,V,A,11.7,V,A,11.6,V,A,12.3,V,A,12.1,V,A
30,2013-10-02 06:00:00,0.0,E,P,0.0,E,P,0.0,E,P,1.835655999000764,E,F,3.0,V,A,3.0,V,A,11.6,V,A,11.3,V,A,12.3,V,A,12.1,V,A
31,2013-10-02 07:00:00,0.0,E,P,0.0,E,P,0.0,E,P,3.922591481659012,E,F,2.9,V,A,3.1,V,A,11.5,V,A,11.1,V,A,12.2,V,A,12.1,V,A
32,2013-10-02 08:00:00,0.0,E,P,0.0,E,P,0.0,E,P,7.018498188112616,E,F,3.0,V,A,3.3,V,A,11.4,V,A,10.9,V,A,12.2,V,A,12.1,V,A
33,2013-10-02 09:00:00,0.0,E,P,0.0,E,P,0.0,V,P,9.1260693169488,E,F,3.1,V,A,3.0,V,A,11.8,V,A,10.7,V,A,12.1,V,A,12.1,V,A
34,2013-10-02 10:00:00,0.0,E,P,0.0,E,P,0.0,E,P,10.789975111175679,E,F,2.9,V,A,4.1,V,A,11.2,V,A,10.7,V,A,12.0,V,A,12.1,V,A
35,2013-10-02 11:00:00,0.0,E,P,0.0,E,P,0.0,E,P,12.119351987069464,E,F,3.2,V,A,3.9,V,A,11.1,V,A,10.9,V,A,12.0,V,A,12.1,V,A
36,2013-10-02 12:00:00,0.0,E,P,0.0,E,P,0.0,E,P,12.783049073784056,E,F,3.0,V,A,3.2,V,A,11.0,V,A,11.4,V,A,11.9,V,A,12.1,V,A
37,2013-10-02 13:00:00,0.0,E,P,0.0,E,P,0.0,E,P,12.230021335792046,E,F,3.0,V,A,3.2,V,A,10.9,V,A,11.9,V,A,11.9,V,A,12.1,V,A
38,2013-10-02 14:00:00,0.0,E,P,0.0,E,P,0.0,E,P,12.340670299613791,E,F,3.2,V,A,3.2,V,A,10.8,V,A,12.7,V,A,11.8,V,A,12.1,V,A
39,2013-10-02 15:00:00,0.0,E,P,0.0,E,P,0.0,V,P,12.008662920082699,E,F,3.5,V,A,3.4,V,A,10.9,V,A,13.5,V,A,11.8,V,A,12.1,V,A
40,2013-10-02 16:00:00,0.0,E,P,0.0,E,P,0.0,E,P,10.9008363248564,E,F,3.3,V,A,2.9,V,A,10.8,V,A,14.2,V,A,11.9,V,A,12.1,V,A
