,date,sh_SWE_manual_mm,sh_SWE_manual_qcflag,sh_SWE_manual_qaflag,sh_depth_manual_cm,sh_depth_manual_qcflag,sh_depth_manual_qaflag,sh_precip_manual_mm,sh_precip_manual_qcflag,sh_precip_manual_qaflag,w10_precip_manual_mm,w10_precip_manual_qcflag,w10_precip_manual_qaflag,sh_tempcorrected_C,sh_temp_qcflag,sh_temp_qaflag,sh_sm2_%,sh_sm2_qc,sh_sm8_%,sh_sm8_qc,sh_sm20_%,sh_sm20_qc,sh_sm2_C_qaflag,sh_sm8_C_qaflag,sh_sm20_C_qaflag,sh_st2_C,sh_st2_qc,sh_st8_C,sh_st2_qc.1,sh_st20_C,sh_st20_qc,sh_st2_C_qaflag,sh_st8_C_qaflag,sh_st20_C_qaflag
0,2006-10-01 00:00:00,0.0,E,P,0.0,E,P,0.0,V,F,0.0,V,P,9.7,E,F,0.0,V,0.0,V,2.8,V,A,A,A,16.0,V,16.1,V,14.2,V,A,A,A
1,2006-10-01 01:00:00,0.0,E,P,0.0,V,P,0.0,V,F,0.0,V,P,9.5,E,F,0.0,V,0.0,V,2.9,V,A,A,A,15.4,V,16.0,V,14.2,V,A,A,A
2,2006-10-01 02:00:00,0.0,E,P,0.0,E,P,0.0,V,F,0.0,V,P,9.8,E,F,0.0,V,0.0,V,2.6,V,A,A,A,14.8,V,16.0,V,14.2,V,A,A,A
3,2006-10-01 03:00:00,0.0,E,P,0.0,E,P,0.0,V,F,0.0,V,P,9.3,E,F,0.0,V,0.0,V,2.6,V,A,A,A,14.4,V,16.0,V,14.2,V,A,A,A
4,2006-10-01 04:00:00,0.0,E,P,0.0,E,P,0.0,V,F,0.0,V,P,8.9,E,F,0.0,V,0.0,V,2.6,V,A,A,A,13.9,V,15.9,V,14.2,V,A,A,A
5,2006-10-01 05:00:00,0.0,E,P,0.0,V,P,0.0,E,F,0.0,V,P,8.0,E,F,0.0,V,0.0,V,2.7,V,A,A,A,13.5,V,15.8,V,14.2,V,A,A,A
6,2006-10-01 06:00:00,0.0,E,P,0.0,V,P,0.0,E,F,0.0,V,P,8.2,E,F,0.0,V,0.0,V,2.5,V,A,A,A,13.1,V,15.8,V,14.2,V,A,A,A
7,2006-10-01 07:00:00,0.0,E,P,0.0,V,P,0.0,E,F,0.0,V,P,5.6,E,F,0.0,V,0.0,V,2.6,V,A,A,A,12.6,V,15.7,V,14.2,V,A,A,A
8,2006-10-01 08:00:00,0.0,E,P,0.0,E,P,0.0,E,F,0.0,V,P,10.8,E,F,0.0,V,0.0,V,3.0,V,A,A,A,12.2,V,15.6,V,14.2,V,A,A,A
9,2006-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,E,F,0.0,V,P,12.8,E,F,0.0,V,0.0,V,2.7,V,A,A,A,12.3,V,15.5,V,14.2,V,A,A,A
