,date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_depth_mm,sh_depth_qc,sh_depth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_%,sh_sm2_qc,sh_sm2_C_qa,sh_sm8_%,sh_sm8_qc,sh_sm8_C_qa,sh_sm20_%,sh_sm20_qc,sh_sm20_C_qa,sh_st2_C,sh_st2_qc,sh_st8_C_qa,sh_st8_C,sh_st8_qc,sh_st2_C_qa,sh_st20_C,sh_st20_qc,sh_st20_qa
0,2010-10-01 00:00:00,0.0,E,A,0.0,E,A,0.0,V,A,11.9,E,F,0.0,V,A,0.0,V,A,6.5,V,A,20.4,V,A,18.3,V,A,14.2,V,A
1,2010-10-01 01:00:00,0.0,V,A,0.0,V,A,0.0,V,A,11.6,E,F,0.0,V,A,0.0,V,A,6.5,V,A,19.5,V,A,18.3,V,A,14.2,V,A
2,2010-10-01 02:00:00,0.0,V,A,0.0,V,A,0.0,V,A,11.2,E,F,0.0,V,A,0.0,V,A,6.4,V,A,18.8,V,A,18.3,V,A,14.2,V,A
3,2010-10-01 03:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.7,E,F,0.0,V,A,0.0,V,A,6.2,V,A,18.2,V,A,18.3,V,A,14.2,V,A
4,2010-10-01 04:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.4,E,F,0.0,V,A,0.0,V,A,6.4,V,A,17.6,V,A,18.2,V,A,14.2,V,A
5,2010-10-01 05:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.2,E,F,0.0,V,A,0.0,V,A,6.4,V,A,17.0,V,A,18.1,V,A,14.3,V,A
6,2010-10-01 06:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.4,E,F,0.0,V,A,0.0,V,A,6.3,V,A,16.5,V,A,18.0,V,A,14.3,V,A
7,2010-10-01 07:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.9,E,F,0.0,V,A,0.0,V,A,6.5,V,A,16.2,V,A,18.0,V,A,14.3,V,A
8,2010-10-01 08:00:00,0.0,V,A,0.0,V,A,0.0,V,A,13.8,E,F,0.0,V,A,0.0,V,A,6.5,V,A,16.2,V,A,18.0,V,A,14.3,V,A
9,2010-10-01 09:00:00,0.0,V,A,0.0,V,A,0.0,V,A,20.2,E,F,0.0,V,A,0.0,V,A,6.4,V,A,16.0,V,A,17.7,V,A,14.3,V,A
10,2010-10-01 10:00:00,0.0,V,A,0.0,V,A,0.0,V,A,23.6,E,F,0.0,V,A,0.0,V,A,6.6,V,A,18.2,V,A,17.6,V,A,14.3,V,A
11,2010-10-01 11:00:00,0.0,V,A,0.0,V,A,0.0,V,A,24.4,E,F,0.0,V,A,0.0,V,A,6.5,V,A,21.2,V,A,17.5,V,A,14.4,V,A
12,2010-10-01 12:00:00,0.0,V,A,0.0,V,A,0.0,V,A,25.2,E,F,0.0,V,A,0.0,V,A,6.1,V,A,23.4,V,A,17.4,V,A,14.4,V,A
13,2010-10-01 13:00:00,0.0,V,A,0.0,V,A,0.0,V,A,23.5,E,F,0.0,V,A,0.0,V,A,6.7,V,A,25.9,V,A,17.4,V,A,14.4,V,A
14,2010-10-01 14:00:00,0.0,V,A,0.0,V,A,0.0,V,A,23.4,E,F,0.0,V,A,0.0,V,A,6.3,V,A,26.2,V,A,17.3,V,A,14.4,V,A
15,2010-10-01 15:00:00,0.0,V,A,0.0,V,A,0.0,V,A,19.4,E,F,0.0,V,A,0.0,V,A,5.9,V,A,27.8,V,A,17.3,V,A,14.4,V,A
16,2010-10-01 16:00:00,0.0,V,A,0.0,V,A,0.0,V,A,22.3,E,F,0.0,V,A,0.0,V,A,6.2,V,A,28.5,V,A,17.4,V,A,14.4,V,A
17,2010-10-01 17:00:00,0.0,V,A,0.0,V,A,0.0,V,A,20.8,E,F,0.0,V,A,0.0,V,A,6.4,V,A,27.3,V,A,17.5,V,A,14.4,V,A
18,2010-10-01 18:00:00,0.0,V,A,0.0,V,A,0.0,V,A,18.7,E,F,0.0,V,A,0.0,V,A,6.6,V,A,25.9,V,A,17.6,V,A,14.4,V,A
19,2010-10-01 19:00:00,0.0,V,A,0.0,V,A,0.0,V,A,15.7,E,F,0.0,V,A,0.0,V,A,6.3,V,A,24.5,V,A,17.7,V,A,14.4,V,A
20,2010-10-01 20:00:00,0.0,V,A,0.0,V,A,0.0,V,A,13.9,E,F,0.0,V,A,0.0,V,A,6.3,V,A,23.1,V,A,17.9,V,A,14.4,V,A
21,2010-10-01 21:00:00,0.0,V,A,0.0,V,A,0.0,V,A,12.7,E,F,0.0,V,A,0.0,V,A,6.3,V,A,21.9,V,A,18.0,V,A,14.4,V,A
22,2010-10-01 22:00:00,0.0,V,A,0.0,V,A,0.0,V,A,12.7,E,F,0.0,V,A,0.0,V,A,6.2,V,A,20.8,V,A,18.1,V,A,14.4,V,A
23,2010-10-01 23:00:00,0.0,V,A,0.0,V,A,0.0,V,A,13.0,E,F,0.0,V,A,0.0,V,A,6.3,V,A,20.0,V,A,18.1,V,A,14.4,V,A
24,2010-10-02 00:00:00,0.0,E,A,0.0,E,A,0.0,V,A,12.5,E,F,0.0,V,A,0.0,V,A,6.4,V,A,19.3,V,A,18.1,V,A,14.4,V,A
25,2010-10-02 01:00:00,0.0,V,A,0.0,V,A,0.0,S,A,11.8,E,F,0.0,V,A,0.0,V,A,6.0,V,A,18.8,V,A,18.1,V,A,14.4,V,A
26,2010-10-02 02:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.9,E,F,0.0,V,A,0.0,V,A,6.3,V,A,18.2,V,A,18.1,V,A,14.4,V,A
27,2010-10-02 03:00:00,0.0,V,A,0.0,V,A,0.0,S,A,10.4,E,F,0.0,V,A,0.0,V,A,6.6,V,A,17.6,V,A,18.0,V,A,14.4,V,A
28,2010-10-02 04:00:00,0.0,V,A,0.0,V,A,0.0,S,A,10.6,E,F,0.0,V,A,0.0,V,A,6.4,V,A,17.1,V,A,18.0,V,A,14.4,V,A
29,2010-10-02 05:00:00,0.0,V,A,0.0,V,A,0.0,S,A,10.4,E,F,0.0,V,A,0.0,V,A,6.4,V,A,16.6,V,A,17.9,V,A,14.4,V,A
30,2010-10-02 06:00:00,0.0,V,A,0.0,V,A,0.0,S,A,10.6,E,F,0.0,V,A,0.0,V,A,6.6,V,A,16.2,V,A,17.8,V,A,14.4,V,A
31,2010-10-02 07:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.4,E,F,0.0,V,A,0.0,V,A,6.6,V,A,15.9,V,A,17.7,V,A,14.4,V,A
32,2010-10-02 08:00:00,0.0,V,A,0.0,V,A,0.0,V,A,14.2,E,F,0.0,V,A,0.0,V,A,6.4,V,A,15.7,V,A,17.6,V,A,14.5,V,A
33,2010-10-02 09:00:00,0.0,V,A,0.0,V,A,0.0,V,A,17.7,E,F,0.0,V,A,0.0,V,A,6.3,V,A,15.7,V,A,17.5,V,A,14.5,V,A
34,2010-10-02 10:00:00,0.0,V,A,0.0,V,A,0.0,V,A,19.4,E,F,0.0,V,A,0.0,V,A,6.2,V,A,17.7,V,A,17.4,V,A,14.5,V,A
35,2010-10-02 11:00:00,0.0,V,A,0.0,V,A,0.0,V,A,19.6,E,F,0.0,V,A,0.0,V,A,6.6,V,A,20.4,V,A,17.3,V,A,14.5,V,A
36,2010-10-02 12:00:00,0.0,V,A,0.0,V,A,0.0,V,A,21.6,E,F,0.0,V,A,0.0,V,A,6.3,V,A,22.4,V,A,17.2,V,A,14.5,V,A
37,2010-10-02 13:00:00,0.0,V,A,0.0,V,A,0.0,V,A,21.1,E,F,0.0,V,A,0.0,V,A,6.6,V,A,25.6,V,A,17.2,V,A,14.5,V,A
38,2010-10-02 14:00:00,0.0,V,A,0.0,V,A,0.0,V,A,20.8,E,F,0.0,V,A,0.0,V,A,6.4,V,A,27.1,V,A,17.1,V,A,14.5,V,A
39,2010-10-02 15:00:00,0.0,V,A,0.0,V,A,0.0,V,A,20.0,E,F,0.0,V,A,0.0,V,A,6.1,V,A,26.8,V,A,17.2,V,A,14.5,V,A
40,2010-10-02 16:00:00,0.0,V,A,0.0,V,A,0.0,V,A,19.0,E,F,0.0,V,A,0.0,V,A,6.1,V,A,25.9,V,A,17.2,V,A,14.5,V,A
41,2010-10-02 17:00:00,0.0,V,A,0.0,V,A,0.0,V,A,18.1,E,F,0.0,V,A,0.0,V,A,6.4,V,A,24.7,V,A,17.4,V,A,14.5,V,A
42,2010-10-02 18:00:00,0.0,V,A,0.0,V,A,0.0,V,A,12.0,E,F,0.0,V,A,0.0,V,A,6.1,V,A,23.5,V,A,17.5,V,A,14.5,V,A
43,2010-10-02 19:00:00,0.0,V,A,0.0,V,A,0.0,V,A,11.9,E,F,0.0,V,A,0.0,V,A,6.6,V,A,22.3,V,A,17.6,V,A,14.5,V,A
