,date,sh_SWE_manual_mm,sh_SWE_manual_qcflag,sh_SWE_manual_qaflag,sh_depth_manual_cm,sh_depth_manual_qcflag,sh_depth_manual_qaflag,sh_precip_manual_mm,sh_precip_manual_qcflag,sh_precip_manual_qaflag,w10_precip_manual_mm,w10_precip_manual_qcflag,w10_precip_manual_qaflag,sh_tempcorrected_C,sh_temp_qcflag,sh_temp_qaflag,sh_sm2_%,sh_sm2_qc,sh_sm8_%,sh_sm8_qc,sh_sm20_%,sh_sm20_qc,sh_sm2_C_qaflag,sh_sm8_C_qaflag,sh_sm20_C_qaflag,sh_st2_C,sh_st2_qc,sh_st8_C,sh_st2_qc.1,sh_st20_C,sh_st20_qc,sh_st2_C_qaflag,sh_st8_C_qaflag,sh_st20_C_qaflag
0,2013-10-01 00:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,3.5,E,F,3.3,V,3.6,V,12.5,V,A,A,A,11.4,V,12.1,V,12.2,V,A,A,A
1,2013-10-01 01:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,4.4,E,F,2.8,V,4.1,V,12.1,V,A,A,A,11.2,V,12.1,V,12.2,V,A,A,A
2,2013-10-01 02:00:00,0.0,E,P,0.0,E,P,0.0,V,P,0,E,P,4.8,E,F,3.4,V,4.1,V,12.1,V,A,A,A,11.0,V,12.0,V,12.2,V,A,A,A
3,2013-10-01 03:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,5.2,E,F,3.1,V,3.3,V,12.3,V,A,A,A,10.8,V,12.0,V,12.2,V,A,A,A
4,2013-10-01 04:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,5.0,E,F,3.4,V,4.6,V,12.1,V,A,A,A,10.7,V,11.9,V,12.2,V,A,A,A
5,2013-10-01 05:00:00,0.0,E,P,0.0,V,P,0.0,E,P,0,E,P,5.8,E,F,3.1,V,3.6,V,12.6,V,A,A,A,10.5,V,11.9,V,12.2,V,A,A,A
6,2013-10-01 06:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,4.8,E,F,3.1,V,3.4,V,12.0,V,A,A,A,10.4,V,11.9,V,12.2,V,A,A,A
7,2013-10-01 07:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,4.6,E,F,2.9,V,3.5,V,12.3,V,A,A,A,10.3,V,11.8,V,12.2,V,A,A,A
8,2013-10-01 08:00:00,0.0,E,P,0.0,V,P,0.0,E,P,0,E,P,8.7,E,F,3.3,V,3.3,V,12.0,V,A,A,A,10.2,V,11.7,V,12.2,V,A,A,A
9,2013-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,E,P,0,E,P,10.9,E,F,3.2,V,4.3,V,12.1,V,A,A,A,10.1,V,11.7,V,12.2,V,A,A,A
