,date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_depth_mm,sh_depth_qc,sh_depth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_%,sh_sm2_qc,sh_sm2_C_qa,sh_sm8_%,sh_sm8_qc,sh_sm8_C_qa,sh_sm20_%,sh_sm20_qc,sh_sm20_C_qa,sh_st2_C,sh_st2_qc,sh_st8_C_qa,sh_st8_C,sh_st8_qc,sh_st2_C_qa,sh_st20_C,sh_st20_qc,sh_st20_qa
0,2006-10-01 00:00:00,0.0,E,P,0.0,E,P,0.0,V,F,9.680845380619004,E,F,0.0,V,A,0.0,V,A,2.8,V,A,16.0,V,A,16.1,V,A,14.2,V,A
1,2006-10-01 01:00:00,0.0,E,P,0.0,V,P,0.0,V,F,9.458943284164647,E,F,0.0,V,A,0.0,V,A,2.9,V,A,15.4,V,A,16.0,V,A,14.2,V,A
2,2006-10-01 02:00:00,0.0,E,P,0.0,E,P,0.0,V,F,9.791790112299608,E,F,0.0,V,A,0.0,V,A,2.6,V,A,14.8,V,A,16.0,V,A,14.2,V,A
3,2006-10-01 03:00:00,0.0,E,P,0.0,E,P,0.0,V,F,9.237029123639601,E,F,0.0,V,A,0.0,V,A,2.6,V,A,14.4,V,A,16.0,V,A,14.2,V,A
4,2006-10-01 04:00:00,0.0,E,P,0.0,E,P,0.0,V,F,8.793187649484466,E,F,0.0,V,A,0.0,V,A,2.6,V,A,13.9,V,A,15.9,V,A,14.2,V,A
5,2006-10-01 05:00:00,0.0,E,P,0.0,V,P,0.0,E,F,7.905614350568484,E,F,0.0,V,A,0.0,V,A,2.7,V,A,13.5,V,A,15.8,V,A,14.2,V,A
6,2006-10-01 06:00:00,0.0,E,P,0.0,V,P,0.0,E,F,8.127479426004513,E,F,0.0,V,A,0.0,V,A,2.5,V,A,13.1,V,A,15.8,V,A,14.2,V,A
7,2006-10-01 07:00:00,0.0,E,P,0.0,V,P,0.0,E,F,5.468271485687623,E,F,0.0,V,A,0.0,V,A,2.6,V,A,12.6,V,A,15.7,V,A,14.2,V,A
8,2006-10-01 08:00:00,0.0,E,P,0.0,E,P,0.0,E,F,10.789975111175679,E,F,0.0,V,A,0.0,V,A,3.0,V,A,12.2,V,A,15.6,V,A,14.2,V,A
9,2006-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,E,F,12.783049073784056,E,F,0.0,V,A,0.0,V,A,2.7,V,A,12.3,V,A,15.5,V,A,14.2,V,A
10,2006-10-01 10:00:00,0.0,E,P,0.0,E,P,0.0,E,F,14.438263068517344,E,F,0.0,V,A,0.0,V,A,3.0,V,A,14.2,V,A,15.4,V,A,14.2,V,A
11,2006-10-01 11:00:00,0.0,E,P,0.0,E,P,0.0,V,F,14.988450926943457,E,F,0.0,V,A,0.0,V,A,2.7,V,A,17.0,V,A,15.3,V,A,14.2,V,A
12,2006-10-01 12:00:00,0.0,E,P,0.0,E,P,0.0,E,F,15.6474826920617,E,F,0.0,V,A,0.0,V,A,2.5,V,A,18.8,V,A,15.2,V,A,14.2,V,A
13,2006-10-01 13:00:00,0.0,E,P,0.0,E,P,0.0,E,F,14.438263068517344,E,F,0.0,V,A,0.0,V,A,3.0,V,A,22.0,V,A,15.1,V,A,14.2,V,A
14,2006-10-01 14:00:00,0.0,E,P,0.0,E,P,0.0,E,F,13.77695389386541,E,F,0.0,V,A,0.0,V,A,2.5,V,A,24.1,V,A,15.1,V,A,14.2,V,A
15,2006-10-01 15:00:00,0.0,E,P,0.0,E,P,0.0,V,F,11.565722898562555,E,F,0.0,V,A,0.0,V,A,2.6,V,A,24.6,V,A,15.1,V,A,14.2,V,A
16,2006-10-01 16:00:00,0.0,E,P,0.0,E,P,0.0,E,F,10.124590472285306,E,F,0.0,V,A,0.0,V,A,2.9,V,A,23.3,V,A,15.2,V,A,14.2,V,A
17,2006-10-01 17:00:00,0.0,E,P,0.0,E,P,0.0,E,F,8.904147856904828,E,F,0.0,V,A,0.0,V,A,2.7,V,A,21.7,V,A,15.3,V,A,14.2,V,A
18,2006-10-01 18:00:00,0.0,E,P,0.0,E,P,0.0,E,F,8.57127190257033,E,F,0.0,V,A,0.0,V,A,2.4,V,A,20.2,V,A,15.4,V,A,14.2,V,A
19,2006-10-01 19:00:00,0.0,E,P,0.0,E,P,0.0,V,F,7.351089417618525,E,F,0.0,V,A,0.0,V,A,2.9,V,A,19.0,V,A,15.5,V,A,14.2,V,A
20,2006-10-01 20:00:00,0.0,V,P,0.0,E,P,0.0,V,F,5.910816496484571,E,F,0.0,V,A,0.0,V,A,2.8,V,A,18.0,V,A,15.6,V,A,14.2,V,A
21,2006-10-01 21:00:00,0.0,V,P,0.0,E,P,0.0,E,F,4.805164804383693,E,F,0.0,V,A,0.0,V,A,2.9,V,A,17.1,V,A,15.7,V,A,14.2,V,A
22,2006-10-01 22:00:00,0.0,E,P,0.0,E,P,0.0,E,F,4.805164804383693,E,F,0.0,V,A,0.0,V,A,2.6,V,A,16.3,V,A,15.7,V,A,14.2,V,A
23,2006-10-01 23:00:00,0.0,V,P,0.0,E,P,1.0,E,F,4.363634926993754,E,F,0.0,V,A,0.0,V,A,2.7,V,A,15.6,V,A,15.7,V,A,14.2,V,A
24,2006-10-02 00:00:00,0.0,V,P,0.0,E,P,2.0,E,F,3.7022663575373684,E,F,0.0,V,A,0.0,V,A,2.6,V,A,14.9,V,A,15.7,V,A,14.2,V,A
25,2006-10-02 01:00:00,0.0,E,P,0.0,E,P,2.0,E,F,2.71259854655527,E,F,0.0,V,A,0.0,V,A,2.5,V,A,14.2,V,A,15.7,V,A,14.2,V,A
26,2006-10-02 02:00:00,0.0,E,P,0.0,E,P,2.0,E,F,3.4820798069453502,E,F,0.0,V,A,0.0,V,A,2.6,V,A,13.5,V,A,15.6,V,A,14.2,V,A
27,2006-10-02 03:00:00,0.0,V,P,0.0,E,P,2.0,E,F,4.694739227896932,E,F,0.0,V,A,0.0,V,A,2.9,V,A,13.1,V,A,15.6,V,A,14.2,V,A
28,2006-10-02 04:00:00,0.0,V,P,0.0,E,P,2.0,E,F,4.915617924695411,E,F,0.0,V,A,0.0,V,A,2.9,V,A,12.9,V,A,15.5,V,A,14.2,V,A
29,2006-10-02 05:00:00,0.0,V,P,0.0,E,P,2.0,E,F,5.578874733270354,E,F,0.0,V,A,0.0,V,A,2.9,V,A,12.7,V,A,15.4,V,A,14.2,V,A
30,2006-10-02 06:00:00,0.0,V,P,0.0,E,P,2.0,E,F,6.02150533333689,E,F,0.0,V,A,0.0,V,A,2.9,V,A,12.6,V,A,15.3,V,A,14.2,V,A
31,2006-10-02 07:00:00,0.0,V,P,0.0,E,P,2.0,E,F,5.910816496484571,E,F,0.0,V,A,0.0,V,A,2.7,V,A,12.5,V,A,15.2,V,A,14.2,V,A
32,2006-10-02 08:00:00,0.0,V,P,0.0,E,P,2.0,E,F,6.353686387937486,E,F,0.0,V,A,0.0,V,A,2.4,V,A,12.5,V,A,15.1,V,A,14.2,V,A
