,date,sh_SWE_manual_mm,sh_SWE_manual_qcflag,sh_SWE_manual_qaflag,sh_depth_manual_cm,sh_depth_manual_qcflag,sh_depth_manual_qaflag,sh_precip_manual_mm,sh_precip_manual_qcflag,sh_precip_manual_qaflag,w10_precip_manual_mm,w10_precip_manual_qcflag,w10_precip_manual_qaflag,sh_tempcorrected_C,sh_temp_qcflag,sh_temp_qaflag,sh_sm2_%,sh_sm2_qc,sh_sm8_%,sh_sm8_qc,sh_sm20_%,sh_sm20_qc,sh_sm2_C_qaflag,sh_sm8_C_qaflag,sh_sm20_C_qaflag,sh_st2_C,sh_st2_qc,sh_st8_C,sh_st2_qc.1,sh_st20_C,sh_st20_qc,sh_st2_C_qaflag,sh_st8_C_qaflag,sh_st20_C_qaflag
0,2015-10-01 00:00:00,0.0,E,P,0.0,V,P,0.0,V,P,1.0,E,P,8.3,E,F,0.0,V,0.0,V,5.6,V,A,A,A,15.5,V,16.1,V,15.1,V,A,A,A
1,2015-10-01 01:00:00,0.0,E,P,0.0,V,P,3.0,V,P,2.0,E,P,8.0,E,F,0.0,V,0.0,V,6.1,V,A,A,A,15.4,V,16.1,V,15.1,V,A,A,A
2,2015-10-01 02:00:00,0.0,V,P,0.0,V,P,3.0,V,P,2.0,E,P,7.8,E,F,0.0,V,0.4,V,6.3,V,A,A,A,15.3,V,16.1,V,15.1,V,A,A,A
3,2015-10-01 03:00:00,0.0,V,P,0.0,V,P,3.0,V,P,3.0,E,P,8.0,E,F,0.0,V,0.0,V,5.6,V,A,A,A,15.3,V,16.0,V,15.0,V,A,A,A
4,2015-10-01 04:00:00,0.0,E,P,0.0,V,P,3.0,V,P,5.0,E,P,8.0,E,F,0.0,V,0.6,V,6.2,V,A,A,A,15.1,V,16.0,V,15.0,V,A,A,A
5,2015-10-01 05:00:00,0.0,E,P,0.0,V,P,5.0,V,P,7.0,E,P,7.6,E,F,0.0,V,0.4,V,5.9,V,A,A,A,15.1,V,15.9,V,15.0,V,A,A,A
6,2015-10-01 06:00:00,0.0,V,P,0.0,V,P,5.0,V,P,14.0,E,P,7.5,E,F,0.0,V,0.8,V,6.2,V,A,A,A,15.0,V,15.9,V,15.0,V,A,A,A
7,2015-10-01 07:00:00,0.0,E,P,0.0,V,P,13.0,V,P,18.0,E,P,7.2,E,F,0.3,V,0.5,V,6.0,V,A,A,A,13.3,V,15.9,V,15.0,V,A,A,A
8,2015-10-01 08:00:00,0.0,V,P,0.0,V,P,18.0,V,P,21.0,E,P,7.3,E,F,0.5,V,0.4,V,6.1,V,A,A,A,12.2,V,15.7,V,15.0,V,A,A,A
9,2015-10-01 09:00:00,0.0,E,P,0.0,V,P,20.0,V,P,27.0,E,P,7.3,E,F,1.0,V,0.3,V,5.8,V,A,A,A,11.9,V,15.4,V,15.0,V,A,A,A
10,2015-10-01 10:00:00,0.0,V,P,0.0,V,P,28.0,V,P,32.0,E,P,7.1,E,F,1.0,V,0.3,V,5.9,V,A,A,A,11.4,V,15.1,V,15.0,V,A,A,A
11,2015-10-01 11:00:00,0.0,V,P,0.0,E,P,30.0,V,P,32.0,E,P,6.4,E,F,1.0,V,1.5,V,6.0,V,A,A,A,11.6,E,14.8,V,15.0,V,A,A,A
12,2015-10-01 12:00:00,0.0,V,P,0.0,V,P,30.0,V,P,32.0,E,P,7.9,E,F,0.0,V,2.0,V,6.4,V,A,A,A,11.3,V,14.6,V,15.0,V,A,A,A
13,2015-10-01 13:00:00,0.0,V,P,0.0,E,P,30.0,V,P,33.0,E,P,7.9,E,F,0.0,V,2.5,V,6.0,V,A,A,A,11.7,V,14.5,V,15.0,V,A,A,A
14,2015-10-01 14:00:00,0.0,E,P,0.0,V,P,30.0,V,P,38.0,E,P,7.0,E,F,0.0,V,3.9,V,6.5,V,A,A,A,12.0,V,14.4,V,14.9,V,A,A,A
15,2015-10-01 15:00:00,0.0,V,P,0.0,V,P,33.0,E,P,38.0,E,P,6.0,E,F,1.6,V,4.5,V,6.2,V,A,A,A,11.5,V,14.4,V,14.9,V,A,A,A
16,2015-10-01 16:00:00,0.0,V,P,0.0,E,P,36.0,V,P,39.0,E,P,6.2,E,F,0.0,V,5.1,V,6.4,V,A,A,A,11.6,V,14.2,V,14.9,V,A,A,A
17,2015-10-01 17:00:00,0.0,V,P,0.0,V,P,36.0,V,P,39.0,E,P,6.3,E,F,0.0,V,5.5,V,6.6,V,A,A,A,11.9,V,14.1,V,14.8,V,A,A,A
18,2015-10-01 18:00:00,0.0,V,P,0.0,V,P,36.0,E,P,39.0,E,P,6.2,E,F,0.0,V,5.2,V,6.1,V,A,A,A,12.0,V,14.1,V,14.8,V,A,A,A
19,2015-10-01 19:00:00,0.0,V,P,0.0,V,P,37.0,E,P,39.0,E,P,6.0,E,F,0.0,V,6.0,V,6.9,V,A,A,A,12.1,V,14.0,V,14.8,V,A,A,A
20,2015-10-01 20:00:00,0.0,V,P,0.0,E,P,38.0,E,P,39.0,E,P,5.8,E,F,0.0,V,5.7,V,7.6,V,A,A,A,12.1,V,13.9,V,14.8,V,A,A,A
21,2015-10-01 21:00:00,0.0,V,P,0.0,E,P,38.0,V,P,39.0,E,P,5.8,E,F,0.0,V,6.1,V,7.6,V,A,A,A,12.2,V,13.9,V,14.8,V,A,A,A
22,2015-10-01 22:00:00,0.0,V,P,0.0,E,P,38.0,V,P,39.0,E,P,5.6,E,F,0.0,V,6.3,V,9.0,V,A,A,A,12.2,V,13.9,V,14.7,V,A,A,A
23,2015-10-01 23:00:00,0.0,V,P,0.0,E,P,38.0,V,P,39.0,E,P,4.9,E,F,0.0,V,6.9,V,8.8,V,A,A,A,12.1,V,13.9,V,14.7,V,A,A,A
