,date,sh_SWE_manual_mm,sh_SWE_manual_qcflag,sh_SWE_manual_qaflag,sh_depth_manual_cm,sh_depth_manual_qcflag,sh_depth_manual_qaflag,sh_precip_manual_mm,sh_precip_manual_qcflag,sh_precip_manual_qaflag,w10_precip_manual_mm,w10_precip_manual_qcflag,w10_precip_manual_qaflag,sh_tempcorrected_C,sh_temp_qcflag,sh_temp_qaflag,sh_sm2_%,sh_sm2_qc,sh_sm8_%,sh_sm8_qc,sh_sm20_%,sh_sm20_qc,sh_sm2_C_qaflag,sh_sm8_C_qaflag,sh_sm20_C_qaflag,sh_st2_C,sh_st2_qc,sh_st8_C,sh_st2_qc.1,sh_st20_C,sh_st20_qc,sh_st2_C_qaflag,sh_st8_C_qaflag,sh_st20_C_qaflag
0,2016-10-01 00:00:00,0.0,E,P,0.0,E,P,0,V,F,0.0,E,P,7.6,E,F,0.0,V,0.0,V,4.6,V,A,A,A,18.3,V,17.4,V,15.0,V,A,A,A
1,2016-10-01 01:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,7.0,E,F,0.0,V,0.0,V,4.5,V,A,A,A,18.0,V,17.4,V,15.0,V,A,A,A
2,2016-10-01 02:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,7.0,E,F,0.0,V,0.0,V,4.3,V,A,A,A,17.7,V,17.4,V,15.0,V,A,A,A
3,2016-10-01 03:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,6.3,E,F,0.0,V,0.0,V,4.6,V,A,A,A,17.3,V,17.3,V,15.0,V,A,A,A
4,2016-10-01 04:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,4.7,E,F,0.0,V,0.0,V,4.6,V,A,A,A,17.0,V,17.2,V,15.0,V,A,A,A
5,2016-10-01 05:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,4.3,E,F,0.0,V,0.0,V,4.6,V,A,A,A,16.7,V,17.2,V,15.0,V,A,A,A
6,2016-10-01 06:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,2.4,E,F,0.0,V,0.1,V,4.3,V,A,A,A,16.4,V,17.1,V,15.0,V,A,A,A
7,2016-10-01 07:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,1.4,E,F,0.0,V,0.0,V,4.4,V,A,A,A,16.0,V,17.0,V,15.0,V,A,A,A
8,2016-10-01 08:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,6.9,E,F,0.0,V,0.0,V,4.2,V,A,A,A,15.7,V,16.9,V,15.0,V,A,A,A
9,2016-10-01 09:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,9.5,E,F,0.0,V,0.0,V,4.4,V,A,A,A,15.4,V,16.8,V,15.0,V,A,A,A
10,2016-10-01 10:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,11.8,E,F,0.0,V,0.0,V,4.2,V,A,A,A,15.1,V,16.7,V,15.0,V,A,A,A
11,2016-10-01 11:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,12.3,E,F,0.0,V,0.0,V,4.6,V,A,A,A,15.1,V,16.6,V,15.0,V,A,A,A
12,2016-10-01 12:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,13.8,E,F,0.0,V,0.0,V,4.1,V,A,A,A,15.3,V,16.5,V,15.0,V,A,A,A
13,2016-10-01 13:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,14.1,E,F,0.0,V,0.0,V,4.4,V,A,A,A,15.7,V,16.4,V,15.0,V,A,A,A
14,2016-10-01 14:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,14.0,E,F,0.0,V,0.0,V,4.4,V,A,A,A,16.3,V,16.3,V,15.0,V,A,A,A
15,2016-10-01 15:00:00,0.0,V,P,0.0,E,P,0,E,P,0.0,E,P,13.3,E,F,0.0,V,0.0,V,4.1,V,A,A,A,17.0,V,16.2,V,15.0,V,A,A,A
16,2016-10-01 16:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,11.9,E,F,0.0,V,0.0,V,4.5,V,A,A,A,17.7,V,16.2,V,15.0,V,A,A,A
17,2016-10-01 17:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,10.2,E,F,0.0,V,0.0,V,4.2,V,A,A,A,18.3,V,16.2,V,15.0,V,A,A,A
18,2016-10-01 18:00:00,0.0,E,P,0.0,V,P,0,E,P,0.0,E,P,7.9,E,F,0.0,V,0.0,V,4.2,V,A,A,A,18.6,V,16.3,V,15.0,V,A,A,A
19,2016-10-01 19:00:00,0.0,E,P,0.0,E,P,0,E,P,0.0,E,P,6.7,E,F,0.0,V,0.0,V,4.7,V,A,A,A,18.6,V,16.4,V,15.0,V,A,A,A
20,2016-10-01 20:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,3.6,E,F,0.0,V,0.0,V,4.6,V,A,A,A,18.5,V,16.4,V,15.0,V,A,A,A
21,2016-10-01 21:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,1.7,E,F,0.0,V,0.0,V,4.6,V,A,A,A,18.2,V,16.5,V,15.0,V,A,A,A
22,2016-10-01 22:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,0.7,E,F,0.0,V,0.0,V,4.3,V,A,A,A,17.8,V,16.6,V,15.0,V,A,A,A
23,2016-10-01 23:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,0.1,E,F,0.0,V,0.0,V,4.2,V,A,A,A,17.4,V,16.6,V,14.9,V,A,A,A
24,2016-10-02 00:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,0.0,E,F,0.0,V,0.0,V,4.3,V,A,A,A,17.0,V,16.6,V,14.9,V,A,A,A
25,2016-10-02 01:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,0.2,E,F,0.0,V,0.0,V,4.1,V,A,A,A,16.6,V,16.6,V,14.9,V,A,A,A
26,2016-10-02 02:00:00,0.0,E,P,0.0,E,P,0,V,P,0.0,E,P,2.0,E,F,0.0,V,0.0,V,4.3,V,A,A,A,16.2,V,16.6,V,14.9,V,A,A,A
