,date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_depth_mm,sh_depth_qc,sh_depth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_%,sh_sm2_qc,sh_sm2_C_qa,sh_sm8_%,sh_sm8_qc,sh_sm8_C_qa,sh_sm20_%,sh_sm20_qc,sh_sm20_C_qa,sh_st2_C,sh_st2_qc,sh_st8_C_qa,sh_st8_C,sh_st8_qc,sh_st2_C_qa,sh_st20_C,sh_st20_qc,sh_st20_qa
0,2011-10-01 00:00:00,0.0,E,A,0.0,E,A,0.0,V,A,10.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
1,2011-10-01 01:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.0,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
2,2011-10-01 02:00:00,0.0,V,A,0.0,V,A,0.0,V,A,9.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
3,2011-10-01 03:00:00,0.0,V,A,0.0,V,A,0.0,V,A,9.1,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
4,2011-10-01 04:00:00,0.0,V,A,0.0,V,A,0.0,V,A,9.5,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
5,2011-10-01 05:00:00,0.0,V,A,0.0,V,A,0.0,V,A,9.3,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
6,2011-10-01 06:00:00,0.0,V,A,0.0,V,A,0.0,V,A,9.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
7,2011-10-01 07:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.1,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
8,2011-10-01 08:00:00,0.0,V,A,0.0,V,A,0.0,V,A,10.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
9,2011-10-01 09:00:00,0.0,V,A,0.0,V,A,0.0,V,A,12.4,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
10,2011-10-01 10:00:00,0.0,V,A,0.0,V,A,0.0,V,A,13.9,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
11,2011-10-01 11:00:00,0.0,V,A,0.0,V,A,0.0,V,A,14.7,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
12,2011-10-01 12:00:00,0.0,V,A,0.0,V,A,0.0,V,A,15.1,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
13,2011-10-01 13:00:00,0.0,V,A,0.0,V,A,0.0,V,A,15.8,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
14,2011-10-01 14:00:00,0.0,V,A,0.0,V,A,0.0,V,A,15.1,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
15,2011-10-01 15:00:00,0.0,V,A,0.0,V,A,0.0,V,A,14.6,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
16,2011-10-01 16:00:00,0.0,V,A,0.0,V,A,0.0,V,A,13.9,E,F,,V,A,,V,A,,V,A,,V,A,,V,A,,V,A
