,date,sh_SWE_manual_mm,sh_SWE_manual_qcflag,sh_SWE_manual_qaflag,sh_depth_manual_cm,sh_depth_manual_qcflag,sh_depth_manual_qaflag,sh_precip_manual_mm,sh_precip_manual_qcflag,sh_precip_manual_qaflag,w10_precip_manual_mm,w10_precip_manual_qcflag,w10_precip_manual_qaflag,sh_tempcorrected_C,sh_temp_qcflag,sh_temp_qaflag,sh_sm2_%,sh_sm2_qc,sh_sm8_%,sh_sm8_qc,sh_sm20_%,sh_sm20_qc,sh_sm2_C_qaflag,sh_sm8_C_qaflag,sh_sm20_C_qaflag,sh_st2_C,sh_st2_qc,sh_st8_C,sh_st2_qc.1,sh_st20_C,sh_st20_qc,sh_st2_C_qaflag,sh_st8_C_qaflag,sh_st20_C_qaflag
0,10/1/2007 0:00,0,V,P,0,E,P,0,V,P,0,E,P,6.6,E,F,0,V,3.6,V,3,V,A,A,A,11,V,12.3,V,12.9,V,A,A,A
1,10/1/2007 1:00,0,V,P,0,V,P,0,V,P,0,E,P,6.7,E,F,0,V,3.9,V,2.9,V,A,A,A,10.7,V,12.3,V,12.9,V,A,A,A
2,10/1/2007 2:00,0,E,P,0,V,P,0,V,P,0,E,P,6.2,E,F,0,V,3.9,V,3,V,A,A,A,10.5,V,12.2,V,12.9,V,A,A,A
3,10/1/2007 3:00,0,E,P,0,V,P,0,V,P,0,E,P,4.6,E,F,0,V,2.9,V,3.1,V,A,A,A,10.2,V,12.2,V,12.9,V,A,A,A
4,10/1/2007 4:00,0,E,P,0,V,P,0,E,P,0,E,P,2.6,E,F,0,V,2.7,V,2.9,V,A,A,A,9.8,V,12.1,V,12.9,V,A,A,A
5,10/1/2007 5:00,0,E,P,0,V,P,0,V,P,1,E,P,1.9,E,F,0,V,2.8,V,3.1,V,A,A,A,9.4,V,12.1,V,12.9,V,A,A,A
6,10/1/2007 6:00,0,V,P,0,E,P,0,V,P,1,E,P,2.7,E,F,0,V,3.5,V,3,V,A,A,A,9,V,12,V,12.8,V,A,A,A
7,10/1/2007 7:00,0,E,P,0,E,P,0,E,P,1,E,P,1.4,E,F,0,V,3.1,V,2.9,V,A,A,A,8.6,V,11.9,V,12.9,V,A,A,A
8,10/1/2007 8:00,0,V,P,0,V,P,0,E,P,3,E,P,2.6,E,F,0,V,3.3,V,3.1,V,A,A,A,8.3,V,11.9,V,12.9,V,A,A,A
9,10/1/2007 9:00,0,E,P,0,E,P,0,E,P,4,E,P,0.6,E,F,0,V,3.3,V,2.6,V,A,A,A,8.1,V,11.8,V,12.8,V,A,A,A
10,10/1/2007 10:00,0,V,P,0,V,P,0,E,P,4,E,P,1.7,E,F,0,V,3.9,V,2.7,V,A,A,A,8,V,11.7,V,12.8,V,A,A,A
11,10/1/2007 11:00,0,V,P,0,V,P,0,E,P,4,E,P,3.1,E,F,0,V,3.5,V,3,V,A,A,A,8.3,V,11.6,V,12.8,V,A,A,A
12,10/1/2007 12:00,0,V,P,0,E,P,0,E,P,4,E,P,3.8,E,F,0,V,3.5,V,3,V,A,A,A,8.6,V,11.5,V,12.8,V,A,A,A
13,10/1/2007 13:00,0,E,P,0,E,P,0,E,P,5,E,P,6.1,E,F,0,V,2.9,V,3,V,A,A,A,9,V,11.5,V,12.8,V,A,A,A
14,10/1/2007 14:00,0,E,P,0,E,P,0,E,P,5,E,P,6.6,E,F,0,V,3.3,V,2.6,V,A,A,A,10.3,V,11.4,V,12.8,V,A,A,A
15,10/1/2007 15:00,0,V,P,0,E,P,0,E,P,5,E,P,8.7,E,F,0,V,3.8,V,2.9,V,A,A,A,11.9,V,11.3,V,12.8,V,A,A,A
16,10/1/2007 16:00,0,E,P,0,E,P,0,E,P,5,E,P,8.5,E,F,0,V,3.9,V,3.1,V,A,A,A,13.3,V,11.3,V,12.8,V,A,A,A
17,10/1/2007 17:00,0,E,P,0,E,P,0,E,P,5,E,P,9.4,E,F,0,V,3.7,V,2.9,V,A,A,A,12.9,V,11.3,V,12.8,V,A,A,A
18,10/1/2007 18:00,0,E,P,0,V,P,0,E,P,5,E,P,3.8,E,F,0,V,3.8,V,2.7,V,A,A,A,12,V,11.4,V,12.8,V,A,A,A
19,10/1/2007 19:00,0,V,P,0,V,P,0,E,P,5,E,P,2,E,F,0,V,3,V,3,V,A,A,A,11,V,11.5,V,12.8,V,A,A,A
20,10/1/2007 20:00,0,V,P,0,E,P,0,E,P,5,E,P,2.3,E,F,0,V,2.7,V,2.8,V,A,A,A,10.1,V,11.5,V,12.8,V,A,A,A
21,10/1/2007 21:00,0,V,P,0,E,P,0,E,P,5,E,P,3.8,E,F,0,V,3.2,V,3.1,V,A,A,A,9.3,V,11.6,V,12.8,V,A,A,A
22,10/1/2007 22:00,0,E,P,0,V,P,0,E,P,5,E,P,3.6,E,F,0,V,2.8,V,3,V,A,A,A,8.7,V,11.6,V,12.8,V,A,A,A
23,10/1/2007 23:00,0,E,P,0,V,P,0,E,P,5,E,P,3.4,E,F,0,V,2.5,V,3.1,V,A,A,A,8.2,V,11.6,V,12.8,V,A,A,A
24,10/2/2007 0:00,0,E,P,0,E,P,0,E,P,5,E,P,3.4,E,F,0,V,3.8,V,3,V,A,A,A,7.7,V,11.5,V,12.8,V,A,A,A
25,10/2/2007 1:00,0,E,P,0,V,P,0,E,P,5,E,P,3.3,E,F,0,V,3.7,V,3.3,V,A,A,A,7.3,V,11.4,V,12.7,V,A,A,A
26,10/2/2007 2:00,0,E,P,0,V,P,0,E,P,5,E,P,3.5,E,F,0,V,2.1,V,2.5,V,A,A,A,7,V,11.4,V,12.7,V,A,A,A
27,10/2/2007 3:00,0,V,P,0,V,P,0,E,P,5,E,P,1.6,E,F,0,V,2.9,V,2.9,V,A,A,A,6.7,V,11.3,V,12.7,V,A,A,A
28,10/2/2007 4:00,0,E,P,0,E,P,0,E,P,5,E,P,0.2,E,F,0,V,2.9,V,2.8,V,A,A,A,6.4,V,11.2,V,12.7,V,A,A,A
29,10/2/2007 5:00,0,E,P,0,V,P,0,E,P,5,E,P,0.1,E,F,0,V,2.7,V,2.8,V,A,A,A,6.1,V,11.1,V,12.7,V,A,A,A
30,10/2/2007 6:00,0,V,P,0,E,P,0,E,P,5,E,P,-0.7,E,F,0,V,2.4,V,2.9,V,A,A,A,5.8,V,11,V,12.7,V,A,A,A
31,10/2/2007 7:00,0,V,P,0,V,P,0,E,P,5,E,P,0.2,E,F,0,V,2.6,V,3,V,A,A,A,5.5,V,10.9,V,12.7,V,A,A,A
32,10/2/2007 8:00,0,V,P,0,E,P,0,E,P,5,E,P,6.6,E,F,0,V,2.7,V,2.8,V,A,A,A,5.2,V,10.8,V,12.7,V,A,A,A
33,10/2/2007 9:00,0,E,P,0,E,P,0,E,P,5,E,P,13,E,F,0,V,2.5,V,3.1,V,A,A,A,5.3,V,10.6,V,12.7,V,A,A,A
34,10/2/2007 10:00,0,E,P,0,E,P,0,E,P,5,E,P,15,E,F,0,V,3.3,V,3,V,A,A,A,7.4,V,10.6,V,12.7,V,A,A,A
35,10/2/2007 11:00,0,E,P,0,E,P,0,E,P,5,E,P,15.7,E,F,0,V,3.1,V,2.9,V,A,A,A,10.4,V,10.5,V,12.7,V,A,A,A
36,10/2/2007 12:00,0,E,P,0,E,P,0,E,P,5,E,P,16.4,E,F,0,V,2.8,V,3,V,A,A,A,12.5,V,10.4,V,12.7,V,A,A,A
37,10/2/2007 13:00,0,V,P,0,E,P,0,E,P,5,E,P,16.9,E,F,0,V,2.9,V,2.8,V,A,A,A,15.8,V,10.4,V,12.7,V,A,A,A
38,10/2/2007 14:00,0,E,P,0,E,P,0,E,P,5,E,P,16.2,E,F,0,V,1.5,V,3,V,A,A,A,18.3,V,10.4,V,12.6,V,A,A,A
39,10/2/2007 15:00,0,V,P,0,E,P,0,E,P,5,E,P,15.7,E,F,0,V,3.2,V,2.9,V,A,A,A,19.8,V,10.6,V,12.6,V,A,A,A
40,10/2/2007 16:00,0,E,P,0,E,P,0,E,P,5,E,P,15.8,E,F,0,V,3,V,2.9,V,A,A,A,19.8,V,10.8,V,12.6,V,A,A,A
41,10/2/2007 17:00,0,E,P,0,E,P,0,E,P,5,E,P,13.8,E,F,0,V,1.9,V,3,V,A,A,A,18.3,V,11,V,12.6,V,A,A,A
42,10/2/2007 18:00,0,E,P,0,V,P,0,E,P,5,E,P,10.8,E,F,0,V,2.4,V,3,V,A,A,A,16.8,V,11.3,V,12.6,V,A,A,A
43,10/2/2007 19:00,0,V,P,0,V,P,0,E,P,5,E,P,8.4,E,F,0,V,2.3,V,2.8,V,A,A,A,15.5,V,11.5,V,12.6,V,A,A,A
44,10/2/2007 20:00,0,V,P,0,V,P,0,E,P,5,E,P,8.4,E,F,0,V,1.6,V,3,V,A,A,A,14.3,V,11.7,V,12.5,V,A,A,A
45,10/2/2007 21:00,0,E,P,0,V,P,0,E,P,5,E,P,8.4,E,F,0,V,2.1,V,2.8,V,A,A,A,13.3,V,11.9,V,12.5,V,A,A,A
46,10/2/2007 22:00,0,E,P,0,E,P,0,E,P,5,E,P,8.5,E,F,0,V,2.6,V,3.2,V,A,A,A,12.5,V,12,V,12.5,V,A,A,A
47,10/2/2007 23:00,0,E,P,0,V,P,0,E,P,5,E,P,8,E,F,0,V,3.1,V,3,V,A,A,A,11.9,V,12,V,12.5,V,A,A,A
48,10/3/2007 0:00,0,E,P,0,E,P,0,E,P,5,E,P,7.6,E,F,0,V,2.6,V,2.9,V,A,A,A,11.3,V,12,V,12.5,V,A,A,A
49,10/3/2007 1:00,0,E,P,0,E,P,0,E,P,5,E,P,6.6,E,F,0,V,2.4,V,3,V,A,A,A,10.8,V,12,V,12.5,V,A,A,A
50,10/3/2007 2:00,0,V,P,0,E,P,0,E,P,5,E,P,6.6,E,F,0,V,2.7,V,3.2,V,A,A,A,10.4,V,12,V,12.5,V,A,A,A
51,10/3/2007 3:00,0,E,P,0,V,P,0,E,P,5,E,P,6.4,E,F,0,V,1.6,V,3,V,A,A,A,9.9,V,12,V,12.5,V,A,A,A
52,10/3/2007 4:00,0,E,P,0,V,P,0,E,P,5,E,P,6,E,F,0,V,2.3,V,2.9,V,A,A,A,9.6,V,11.9,V,12.5,V,A,A,A
53,10/3/2007 5:00,0,V,P,0,V,P,0,E,P,5,E,P,5.7,E,F,0,V,2.4,V,3,V,A,A,A,9.2,V,11.9,V,12.5,V,A,A,A
54,10/3/2007 6:00,0,V,P,0,V,P,0,E,P,5,E,P,5.5,E,F,0,V,2.3,V,2.8,V,A,A,A,8.8,V,11.8,V,12.5,V,A,A,A
55,10/3/2007 7:00,0,V,P,0,V,P,0,E,P,5,E,P,6.4,E,F,0,V,2,V,3,V,A,A,A,8.4,V,11.7,V,12.5,V,A,A,A
56,10/3/2007 8:00,0,E,P,0,E,P,0,E,P,5,E,P,9.4,E,F,0,V,2.1,V,2.8,V,A,A,A,8.3,V,11.6,V,12.5,V,A,A,A
57,10/3/2007 9:00,0,E,P,0,E,P,0,E,P,5,E,P,10.8,E,F,0,V,1.9,V,2.8,V,A,A,A,8.3,V,11.5,V,12.5,V,A,A,A
58,10/3/2007 10:00,0,E,P,0,E,P,0,E,P,5,E,P,11.9,E,F,0,V,1.7,V,3.1,V,A,A,A,9.9,V,11.5,V,12.5,V,A,A,A
59,10/3/2007 11:00,0,E,P,0,E,P,0,E,P,5,E,P,11.9,E,F,0,V,2.7,V,3,V,A,A,A,12.1,V,11.4,V,12.5,V,A,A,A
60,10/3/2007 12:00,0,E,P,0,E,P,0,E,P,5,E,P,13.1,E,F,0,V,1.3,V,2.6,V,A,A,A,13.8,V,11.4,V,12.5,V,A,A,A
61,10/3/2007 13:00,0,E,P,0,E,P,0,E,P,5,E,P,13,E,F,0,V,1.7,V,2.6,V,A,A,A,16.7,V,11.3,V,12.5,V,A,A,A
62,10/3/2007 14:00,0,V,P,0,E,P,0,E,P,5,E,P,13.1,E,F,0,V,2.4,V,2.6,V,A,A,A,18.8,V,11.4,V,12.5,V,A,A,A
63,10/3/2007 15:00,0,E,P,0,E,P,0,E,P,5,E,P,12.4,E,F,0,V,2.3,V,2.8,V,A,A,A,20,V,11.5,V,12.5,V,A,A,A
64,10/3/2007 16:00,0,V,P,0,E,P,0,E,P,5,E,P,11.7,E,F,0,V,2.1,V,2.7,V,A,A,A,19.9,V,11.7,V,12.5,V,A,A,A
65,10/3/2007 17:00,0,E,P,0,E,P,0,E,P,5,E,P,9.8,E,F,0,V,2.2,V,2.9,V,A,A,A,18.4,V,11.9,V,12.5,V,A,A,A
66,10/3/2007 18:00,0,E,P,0,V,P,0,E,P,5,E,P,7.8,E,F,0,V,1.5,V,3.1,V,A,A,A,16.9,V,12.1,V,12.5,V,A,A,A
67,10/3/2007 19:00,0,E,P,0,V,P,0,E,P,5,E,P,6.3,E,F,0,V,1.6,V,3.1,V,A,A,A,15.5,V,12.2,V,12.5,V,A,A,A
68,10/3/2007 20:00,0,V,P,0,E,P,0,E,P,5,E,P,5.5,E,F,0,V,2.1,V,2.7,V,A,A,A,14.4,V,12.4,V,12.5,V,A,A,A
69,10/3/2007 21:00,0,V,P,0,V,P,0,E,P,5,E,P,4.3,E,F,0,V,1.5,V,2.8,V,A,A,A,13.3,V,12.5,V,12.5,V,A,A,A
70,10/3/2007 22:00,0,E,P,0,V,P,0,E,P,5,E,P,4.7,E,F,0,V,1.5,V,2.8,V,A,A,A,12.5,V,12.5,V,12.5,V,A,A,A
71,10/3/2007 23:00,0,E,P,0,E,P,0,E,P,5,E,P,5.3,E,F,0,V,1.4,V,3.1,V,A,A,A,11.8,V,12.6,V,12.5,V,A,A,A
72,10/4/2007 0:00,0,E,P,0,V,P,0,E,P,5,E,P,4.9,E,F,0,V,1.4,V,2.9,V,A,A,A,11.3,V,12.5,V,12.4,V,A,A,A
73,10/4/2007 1:00,0,E,P,0,V,P,0,E,P,5,E,P,4.7,E,F,0,V,1.8,V,2.9,V,A,A,A,10.8,V,12.5,V,12.4,V,A,A,A
74,10/4/2007 2:00,0,E,P,0,V,P,0,E,P,5,E,P,4.4,E,F,0,V,1.4,E,3.1,V,A,A,A,10.3,V,12.4,V,12.4,V,A,A,A
75,10/4/2007 3:00,0,V,P,0,V,P,0,E,P,5,E,P,4.3,E,F,0,V,2,V,2.9,V,A,A,A,9.9,V,12.4,V,12.4,V,A,A,A
76,10/4/2007 4:00,0,E,P,0,V,P,0,E,P,5,E,P,4.3,E,F,0,V,2.5,V,2.7,V,A,A,A,9.6,V,12.3,V,12.5,V,A,A,A
77,10/4/2007 5:00,0,V,P,0,V,P,0,E,P,5,E,P,3.8,E,F,0,V,2.1,V,3,V,A,A,A,9.3,V,12.2,V,12.5,V,A,A,A
78,10/4/2007 6:00,0,V,P,0,V,P,0,E,P,5,E,P,3.6,E,F,0,V,1.2,V,2.9,V,A,A,A,9,V,12.1,V,12.5,V,A,A,A
79,10/4/2007 7:00,0,V,P,0,V,P,0,E,P,5,E,P,3.2,E,F,0,V,1.7,V,3,V,A,A,A,8.7,V,12,V,12.5,V,A,A,A
80,10/4/2007 8:00,0,V,P,0,E,P,0,E,P,5,E,P,4.6,E,F,0,V,1.4,V,2.9,V,A,A,A,8.3,V,11.9,V,12.5,V,A,A,A
81,10/4/2007 9:00,0,V,P,0,E,P,0,E,P,5,E,P,5,E,F,0,V,2.1,V,3.1,V,A,A,A,8.1,V,11.9,V,12.5,V,A,A,A
82,10/4/2007 10:00,0,E,P,0,E,P,0,E,P,5,E,P,5.7,E,F,0,V,1.3,V,2.9,V,A,A,A,8.7,V,11.7,V,12.5,V,A,A,A
83,10/4/2007 11:00,0,E,P,0,V,P,0,E,P,5,E,P,6.3,E,F,0,V,1.7,V,3.1,V,A,A,A,9.7,V,11.6,V,12.5,V,A,A,A
84,10/4/2007 12:00,0,E,P,0,E,P,0,E,P,5,E,P,6.8,E,F,0,V,1.1,V,2.9,V,A,A,A,11,V,11.6,V,12.5,V,A,A,A
85,10/4/2007 13:00,0,V,P,0,E,P,0,E,P,5,E,P,5.9,E,F,0,V,1,V,2.8,V,A,A,A,13.3,V,11.5,V,12.5,V,A,A,A
86,10/4/2007 14:00,0,V,P,0,E,P,0,E,P,5,E,P,4,E,F,0,V,0.7,V,2.8,V,A,A,A,14.8,V,11.5,V,12.5,V,A,A,A
87,10/4/2007 15:00,0,E,P,0,V,P,1,E,P,5,E,P,3.1,E,F,0,V,0.8,V,3,V,A,A,A,15,V,11.5,V,12.5,V,A,A,A
88,10/4/2007 16:00,0,V,P,0,E,P,1,E,P,5,E,P,2.6,E,F,0,V,1.6,V,2.8,V,A,A,A,14.2,V,11.6,V,12.5,V,A,A,A
89,10/4/2007 17:00,0,V,P,0,V,P,2.5,E,P,5,E,P,0.7,E,F,0,V,1.1,V,2.7,V,A,A,A,13.2,V,11.7,V,12.5,V,A,A,A
90,10/4/2007 18:00,0,V,P,0,V,P,4,E,P,5,E,P,-0.3,E,F,0,V,1.4,V,2.9,V,A,A,A,12.1,V,11.7,V,12.5,V,A,A,A
91,10/4/2007 19:00,0,V,P,0,V,P,4,E,P,5,E,P,-0.9,E,F,0,V,0.7,V,3,V,A,A,A,11.2,V,11.8,V,12.5,V,A,A,A
92,10/4/2007 20:00,0,V,P,0,V,P,4,E,P,7,E,P,-1.2,E,F,0,V,0.7,V,3,V,A,A,A,10.3,V,11.8,V,12.5,V,A,A,A
93,10/4/2007 21:00,0,V,P,0,E,P,4,E,P,11,E,P,-1.9,E,F,0,V,1.2,V,3.1,V,A,A,A,9.6,V,11.8,V,12.5,V,A,A,A
94,10/4/2007 22:00,1.5,E,P,0.8,E,P,5.5,E,P,12,E,P,-2,E,F,0,V,1.2,V,3,V,A,A,A,9,V,11.8,V,12.5,V,A,A,A
