,date,sh_SWE_manual_mm,sh_SWE_manual_qcflag,sh_SWE_manual_qaflag,sh_depth_manual_cm,sh_depth_manual_qcflag,sh_depth_manual_qaflag,sh_precip_manual_mm,sh_precip_manual_qcflag,sh_precip_manual_qaflag,w10_precip_manual_mm,w10_precip_manual_qcflag,w10_precip_manual_qaflag,sh_tempcorrected_C,sh_temp_qcflag,sh_temp_qaflag,sh_sm2_%,sh_sm2_qc,sh_sm8_%,sh_sm8_qc,sh_sm20_%,sh_sm20_qc,sh_sm2_C_qaflag,sh_sm8_C_qaflag,sh_sm20_C_qaflag,sh_st2_C,sh_st2_qc,sh_st8_C,sh_st2_qc.1,sh_st20_C,sh_st20_qc,sh_st2_C_qaflag,sh_st8_C_qaflag,sh_st20_C_qaflag
0,2005-10-01 00:00:00,0.0,E,P,0.0,E,F,0.0,V,P,0.0,E,P,8.6,E,F,0.0,V,0.8,V,3.1,V,A,A,A,14.7,V,15.8,V,13.1,V,A,A,A
1,2005-10-01 01:00:00,0.0,E,P,0.0,V,F,0.0,V,P,0.0,E,P,9.7,E,F,0.0,V,0.8,V,3.4,V,A,A,A,14.0,V,15.8,V,13.1,V,A,A,A
2,2005-10-01 02:00:00,0.0,E,P,0.0,E,F,0.0,V,P,0.0,E,P,9.7,E,F,0.0,V,0.9,V,3.4,V,A,A,A,13.6,V,15.7,V,13.1,V,A,A,A
3,2005-10-01 03:00:00,0.0,E,P,0.0,V,F,0.0,V,P,0.0,E,P,10.4,E,F,0.0,V,0.9,V,3.6,V,A,A,A,13.1,V,15.6,V,13.1,V,A,A,A
4,2005-10-01 04:00:00,0.0,E,P,0.0,V,F,0.0,V,P,0.0,E,P,10.4,E,F,0.0,V,1.0,V,3.5,V,A,A,A,12.8,V,15.5,V,13.2,V,A,A,A
5,2005-10-01 05:00:00,0.0,E,P,0.0,V,F,0.0,V,P,0.0,E,P,11.1,E,F,0.0,V,0.6,V,3.5,V,A,A,A,12.6,V,15.4,V,13.2,V,A,A,A
6,2005-10-01 06:00:00,0.0,E,P,0.0,V,F,0.0,E,P,0.0,E,P,10.5,E,F,0.0,V,0.7,V,3.0,V,A,A,A,12.4,V,15.2,V,13.2,V,A,A,A
7,2005-10-01 07:00:00,0.0,E,P,0.0,V,F,0.0,E,P,0.0,E,P,9.8,E,F,0.0,V,0.7,V,3.3,V,A,A,A,12.3,V,15.1,V,13.2,V,A,A,A
8,2005-10-01 08:00:00,0.0,E,P,0.0,V,F,0.0,E,P,0.0,E,P,9.3,E,F,0.0,V,0.7,V,3.1,V,A,A,A,12.2,V,14.9,V,13.2,V,A,A,A
9,2005-10-01 09:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,11.6,E,F,0.0,V,0.8,V,3.4,V,A,A,A,12.1,V,14.8,V,13.2,V,A,A,A
10,2005-10-01 10:00:00,0.0,E,P,0.0,E,F,0.0,V,P,0.0,E,P,14.3,E,F,0.0,V,0.6,V,3.6,V,A,A,A,13.6,V,14.7,V,13.3,V,A,A,A
11,2005-10-01 11:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,14.7,E,F,0.0,V,0.5,V,3.4,V,A,A,A,16.0,V,14.6,V,13.3,V,A,A,A
12,2005-10-01 12:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,14.7,E,F,0.0,V,0.7,V,3.1,V,A,A,A,17.7,V,14.5,V,13.3,V,A,A,A
13,2005-10-01 13:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,13.6,E,F,0.0,V,0.9,V,3.4,V,A,A,A,20.0,V,14.4,V,13.3,V,A,A,A
14,2005-10-01 14:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,13.8,E,F,0.0,V,0.7,V,3.7,V,A,A,A,20.8,V,14.4,V,13.3,V,A,A,A
15,2005-10-01 15:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,11.3,E,F,0.0,V,0.7,V,3.3,V,A,A,A,21.5,V,14.5,V,13.3,V,A,A,A
16,2005-10-01 16:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,10.3,E,F,0.0,V,0.8,V,3.2,V,A,A,A,20.6,V,14.6,V,13.3,V,A,A,A
17,2005-10-01 17:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,10.0,E,F,0.0,V,0.4,V,3.2,V,A,A,A,19.2,V,14.7,V,13.3,V,A,A,A
18,2005-10-01 18:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,9.6,E,F,0.0,V,0.6,V,3.2,V,A,A,A,18.0,V,14.9,V,13.3,V,A,A,A
19,2005-10-01 19:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,9.4,E,F,0.0,V,0.3,V,3.5,V,A,A,A,17.1,V,15.0,V,13.3,V,A,A,A
20,2005-10-01 20:00:00,0.0,E,P,0.0,E,F,0.0,E,P,0.0,E,P,9.2,E,F,0.0,V,1.0,V,3.1,V,A,A,A,16.4,V,15.1,V,13.3,V,A,A,A
